Planteo,PalabrasClave,Ejemplo
"Excepción de Prescripción","Opone prescripción, Art. 82, Ley 18.037","se deja opuesta a todo evento la prescripcion liberatoria prevista en el art. 82"
"Determinación Haber Inicial y Movilidad","DETERMINACION, HABER INICIAL Y MOVILIDAD, prestaciones de PBU PC y PAP","El haber previsional de la parte actora se encuentra integrado por las prestaciones de PBU"
"Movilidad","Leyes 26.417 y 27.426, deviene abstracto, actualización de los haberes","la cuestión sujeta a debate -esto es la actualización de los haberes- deviene abstracto"
"Cálculo del Haber Inicial","METODOLOGIA UTILIZADA, ISBIC, ELLIFF","impugna la forma utilizada por mi mandante a efectos de calcular su haber"
"Recálculo de PBU","POLLIO, LLORENTE, FIGON, IMPROCEDENCIA PBU, Quiroga","analisis difiere de la realidad ya que obtuvo su beneficio con posterioridad"
"Constitucionalidad de Normas","CONSTITUCIONALIDAD DE LAS NORMAS ATACADAS","La declaracion de inconstitucionalidad de una ley es un acto de suma gravedad"
"Inconstitucionalidad Dec 807/16","DECRETO 807/2016, RIPTE, ISBIC","se encuentra en contraposicion a lo establecido en el fallo Elliff"
"Inconstitucionalidad Ley 27.609","CIEZA, BADARO, CHOCOBAR, Ley 27.609, hipotético","la sustitucion de un mecanismo de movilidad por otro no irroga agravio constitucional"
"Tope Intrínseco","Art 9 Ley 24.241, MOPRES, tope intrinseco","establecio un maximo imponible para los aportes y contribuciones"
"Tope Extrínseco","Art 9 Ley 24.463, tope extrinseco","la Ley 24.463 vino a establecer el tope extrinseco"
"Inciso 2 Res 06/09","82% del monto maximo, deduccion, escala","procede efectuarle la deduccion que establece la escala del art 9"
"Inciso 3 Chocobar","Chocobar, haberes maximos","La fijacion de haberes maximos ha sido convalidada en el precedente Chocobar"
"Costas","Art 71 CPCC, Orden Causado, Art 21, costas","las costas deben ser distribuidas en la forma que preve el art. 71 del CPCC o Art 21"
"Fallo Villanustre","Villanustre, Seta","la aplicacion del criterio del fallo Villanustre se torna indispensable"
"Tasa de Interés","Caja de ahorros comun, DIAZ SINIVALDO","se le aplique el interes correspondiente a la caja de ahorros comun"
"Impuesto a las Ganancias","Fallo GARCIA, RETENCION IMPUESTO GANANCIAS, doble imposición","solicito se rechace el planteo y se cite como tercero interesado"
"Bonos y Refuerzos","Bono extraordinario, Bonos extraordinarios, refuerzos previsionales, subsidio extraordinario","el aceleramiento de precios tiene una mayor incidencia en las personas de menores ingresos"
